,trip_master_id,estimated_dt,mindiff,smoothed,closure_percent,pull_timestamp,yy,mm,dd,DayOfWeek,hh,mi,minute_col,dy
58,7361,128,328,100,0,2023-01-28 05:28:00,2023,1,28,6,5,28,05:28:00,28
59,7361,120,334,100,0,2023-01-28 05:34:00,2023,1,28,6,5,34,05:34:00,28
60,7361,64,340,100,0,2023-01-28 05:40:00,2023,1,28,6,5,40,05:40:00,28
61,7361,122,336,100,0,2023-01-28 05:36:00,2023,1,28,6,5,36,05:36:00,28
62,7361,125,338,100,0,2023-01-28 05:38:00,2023,1,28,6,5,38,05:38:00,28
63,7361,52,350,100,0,2023-01-28 05:50:00,2023,1,28,6,5,50,05:50:00,28
64,7361,75,354,100,0,2023-01-28 05:54:00,2023,1,28,6,5,54,05:54:00,28
65,7361,71,150,100,0,2023-01-28 02:30:00,2023,1,28,6,2,30,02:30:00,28
66,7361,70,152,100,0,2023-01-28 02:32:00,2023,1,28,6,2,32,02:32:00,28
67,7361,115,650,100,0,2023-01-28 10:50:00,2023,1,28,6,10,50,10:50:00,28
68,7361,61,156,100,0,2023-01-28 02:36:00,2023,1,28,6,2,36,02:36:00,28
69,7361,166,934,100,0,2023-01-28 15:34:00,2023,1,28,6,15,34,15:34:00,28
70,7361,116,656,100,0,2023-01-28 10:56:00,2023,1,28,6,10,56,10:56:00,28
71,7361,154,660,100,0,2023-01-28 11:00:00,2023,1,28,6,11,0,11:00:00,28
72,7361,60,158,100,0,2023-01-28 02:38:00,2023,1,28,6,2,38,02:38:00,28
73,7361,155,662,100,0,2023-01-28 11:02:00,2023,1,28,6,11,2,11:02:00,28
74,7361,166,938,100,0,2023-01-28 15:38:00,2023,1,28,6,15,38,15:38:00,28
75,7361,252,940,100,0,2023-01-28 15:40:00,2023,1,28,6,15,40,15:40:00,28
76,7361,150,942,100,0,2023-01-28 15:42:00,2023,1,28,6,15,42,15:42:00,28
77,7361,154,944,100,0,2023-01-28 15:44:00,2023,1,28,6,15,44,15:44:00,28
78,7361,92,674,100,0,2023-01-28 11:14:00,2023,1,28,6,11,14,11:14:00,28
79,7361,147,946,100,0,2023-01-28 15:46:00,2023,1,28,6,15,46,15:46:00,28
80,7361,75,360,100,0,2023-01-28 06:00:00,2023,1,28,6,6,0,06:00:00,28
81,7361,75,364,100,0,2023-01-28 06:04:00,2023,1,28,6,6,4,06:04:00,28
82,7361,92,368,100,0,2023-01-28 06:08:00,2023,1,28,6,6,8,06:08:00,28
83,7361,165,372,100,0,2023-01-28 06:12:00,2023,1,28,6,6,12,06:12:00,28
84,7361,270,1218,100,0,2023-01-28 20:18:00,2023,1,28,6,20,18,20:18:00,28
85,7361,273,1220,100,0,2023-01-28 20:20:00,2023,1,28,6,20,20,20:20:00,28
86,7361,330,1222,100,0,2023-01-28 20:22:00,2023,1,28,6,20,22,20:22:00,28
87,7361,183,376,100,0,2023-01-28 06:16:00,2023,1,28,6,6,16,06:16:00,28
88,7361,312,1228,100,0,2023-01-28 20:28:00,2023,1,28,6,20,28,20:28:00,28
89,7361,322,1230,100,0,2023-01-28 20:30:00,2023,1,28,6,20,30,20:30:00,28
90,7361,71,162,100,0,2023-01-28 02:42:00,2023,1,28,6,2,42,02:42:00,28
91,7361,88,166,100,0,2023-01-28 02:46:00,2023,1,28,6,2,46,02:46:00,28
92,7361,69,168,100,0,2023-01-28 02:48:00,2023,1,28,6,2,48,02:48:00,28
93,7361,91,170,100,0,2023-01-28 02:50:00,2023,1,28,6,2,50,02:50:00,28
94,7361,86,174,100,0,2023-01-28 02:54:00,2023,1,28,6,2,54,02:54:00,28
95,7361,144,950,100,0,2023-01-28 15:50:00,2023,1,28,6,15,50,15:50:00,28
96,7361,250,954,100,0,2023-01-28 15:54:00,2023,1,28,6,15,54,15:54:00,28
97,7361,134,956,100,0,2023-01-28 15:56:00,2023,1,28,6,15,56,15:56:00,28
98,7361,71,680,100,0,2023-01-28 11:20:00,2023,1,28,6,11,20,11:20:00,28
99,7361,97,178,100,0,2023-01-28 02:58:00,2023,1,28,6,2,58,02:58:00,28
100,7361,102,180,100,0,2023-01-28 03:00:00,2023,1,28,6,3,0,03:00:00,28
101,7361,125,684,100,0,2023-01-28 11:24:00,2023,1,28,6,11,24,11:24:00,28
102,7361,226,686,100,0,2023-01-28 11:26:00,2023,1,28,6,11,26,11:26:00,28
103,7361,194,378,100,0,2023-01-28 06:18:00,2023,1,28,6,6,18,06:18:00,28
104,7361,196,380,100,0,2023-01-28 06:20:00,2023,1,28,6,6,20,06:20:00,28
105,7361,201,382,100,0,2023-01-28 06:22:00,2023,1,28,6,6,22,06:22:00,28
106,7361,142,384,100,0,2023-01-28 06:24:00,2023,1,28,6,6,24,06:24:00,28
107,7361,155,388,100,0,2023-01-28 06:28:00,2023,1,28,6,6,28,06:28:00,28
108,7361,304,1232,100,0,2023-01-28 20:32:00,2023,1,28,6,20,32,20:32:00,28
109,7361,183,1234,100,0,2023-01-28 20:34:00,2023,1,28,6,20,34,20:34:00,28
110,7361,183,1238,100,0,2023-01-28 20:38:00,2023,1,28,6,20,38,20:38:00,28
111,7361,121,398,100,0,2023-01-28 06:38:00,2023,1,28,6,6,38,06:38:00,28
112,7361,567,1248,100,0,2023-01-28 20:48:00,2023,1,28,6,20,48,20:48:00,28
113,7361,567,1250,100,0,2023-01-28 20:50:00,2023,1,28,6,20,50,20:50:00,28
114,7361,87,402,100,0,2023-01-28 06:42:00,2023,1,28,6,6,42,06:42:00,28
115,7361,374,1254,100,0,2023-01-28 20:54:00,2023,1,28,6,20,54,20:54:00,28
116,7361,379,1256,100,0,2023-01-28 20:56:00,2023,1,28,6,20,56,20:56:00,28
117,7361,408,1262,100,0,2023-01-28 21:02:00,2023,1,28,6,21,2,21:02:00,28
118,7361,624,1268,100,0,2023-01-28 21:08:00,2023,1,28,6,21,8,21:08:00,28
119,7361,285,1272,100,0,2023-01-28 21:12:00,2023,1,28,6,21,12,21:12:00,28
120,7361,369,1276,100,0,2023-01-28 21:16:00,2023,1,28,6,21,16,21:16:00,28
121,7361,99,184,100,0,2023-01-28 03:04:00,2023,1,28,6,3,4,03:04:00,28
122,7361,99,186,100,0,2023-01-28 03:06:00,2023,1,28,6,3,6,03:06:00,28
123,7361,108,182,100,0,2023-01-28 03:02:00,2023,1,28,6,3,2,03:02:00,28
124,7361,85,188,100,0,2023-01-28 03:08:00,2023,1,28,6,3,8,03:08:00,28
125,7361,85,190,100,0,2023-01-28 03:10:00,2023,1,28,6,3,10,03:10:00,28
126,7361,85,194,100,0,2023-01-28 03:14:00,2023,1,28,6,3,14,03:14:00,28
127,7361,75,694,100,0,2023-01-28 11:34:00,2023,1,28,6,11,34,11:34:00,28
128,7361,75,692,100,0,2023-01-28 11:32:00,2023,1,28,6,11,32,11:32:00,28
129,7361,107,970,100,0,2023-01-28 16:10:00,2023,1,28,6,16,10,16:10:00,28
130,7361,107,972,100,0,2023-01-28 16:12:00,2023,1,28,6,16,12,16:12:00,28
131,7361,242,698,100,0,2023-01-28 11:38:00,2023,1,28,6,11,38,11:38:00,28
132,7361,242,702,100,0,2023-01-28 11:42:00,2023,1,28,6,11,42,11:42:00,28
133,7361,97,976,100,0,2023-01-28 16:16:00,2023,1,28,6,16,16,16:16:00,28
134,7361,143,706,100,0,2023-01-28 11:46:00,2023,1,28,6,11,46,11:46:00,28
135,7361,242,978,100,0,2023-01-28 16:18:00,2023,1,28,6,16,18,16:18:00,28
136,7361,241,982,100,0,2023-01-28 16:22:00,2023,1,28,6,16,22,16:22:00,28
137,7361,86,990,100,0,2023-01-28 16:30:00,2023,1,28,6,16,30,16:30:00,28
138,7361,87,406,100,0,2023-01-28 06:46:00,2023,1,28,6,6,46,06:46:00,28
139,7361,75,410,100,0,2023-01-28 06:50:00,2023,1,28,6,6,50,06:50:00,28
